,sh1,p,C1,B1,Tem_1,DE1
2020-02-15,,3.5559999999999956,,,,0.0
2020-02-16,,0.0,,,,0.0
2020-02-17,,0.3386666666666658,,,,0.0
2020-02-18,,0.0,,,,0.0
2020-02-19,,3.8946666666666627,,,,0.0
2020-02-20,,2.20133333333333,,,,0.0
2020-02-21,,26.75466666666666,,,,0.0
2020-02-22,,2.6246666666666587,,,,0.0
2020-02-23,,0.0,,,,0.0
2020-02-24,,0.0,,,,0.0
2020-02-25,,0.0,,,,0.0
2020-02-26,,0.0,,,,0.0
2020-02-27,,0.0,,,,0.0
2020-02-28,,0.0,,,,0.0
2020-02-29,,0.2539999999999998,,,,0.0
2020-03-01,,0.0,,,,0.0
2020-03-02,,0.2539999999999998,,,,0.0
2020-03-03,,2.370666666666663,,,,0.0
2020-03-04,,2.1166666666666645,,,,0.0
2020-03-05,,0.0,,,,0.0
2020-03-06,,0.0,,,,0.0
2020-03-07,,0.0,,,,0.0
2020-03-08,,0.0,,,,0.0
2020-03-09,,0.0,,,,0.0
2020-03-10,,42.079333333333324,,,,0.0
2020-03-11,60.00371429,0.0,,,,0.0
2020-03-12,59.52358870875,2.031999999999998,,,,0.0
2020-03-13,56.28945022833333,0.0,,,,0.0
2020-03-14,51.011187542916666,0.0,,,,0.0
2020-03-15,50.289539538750006,0.0,,,,0.0
2020-03-16,50.00763020833333,0.0,,,,0.0
2020-03-17,49.87677083333333,0.0,,,,0.0
2020-03-18,49.74299768583333,0.0,,,,0.0
2020-03-19,53.14035301083333,22.351999999999993,,,,0.0
2020-03-20,61.65970486208333,0.5079999999999998,,,,0.0
2020-03-21,61.73137152916666,0.4233333333333318,,,,0.0
2020-03-22,61.258697913333336,7.196666666666662,,,,0.0
2020-03-23,59.63660300625,0.0,,,,0.0
2020-03-24,56.60455150208333,0.0,1.76,-0.6081686962805787,33.87,0.0
2020-03-25,53.90936921125,0.0,1.76,-0.6086666820425296,33.87,0.0
2020-03-26,53.339140890416665,0.0,1.76,-0.609330919322847,33.87,0.0
2020-03-27,53.06351957166667,0.0,1.7474479166666665,-0.5882652254678106,31.723055555555558,0.0
2020-03-28,52.787931131250005,0.0,1.7455763888888889,-0.5501493055555555,28.52615625,0.0
2020-03-29,52.60637731291667,0.0,1.729527777777778,-0.5278541666666666,26.709083333333336,0.0
2020-03-30,52.42564525416667,0.9313333333333313,1.7357500000000001,-0.5490729166666667,27.44649652777778,0.0
2020-03-31,52.380918692916666,7.11199999999999,1.7251666666666665,-0.5463541666666666,26.566850694444444,0.0
2020-04-01,51.51236981291667,8.46666666666665,1.7022638888888888,-0.5271041666666666,25.021697916666668,0.0
2020-04-02,50.04161700208333,0.0,1.7546666666666668,-0.5579375,28.63789583333333,0.0
2020-04-03,51.71270016041667,0.0,1.7539652777777777,-0.5539340277777778,29.173253472222225,0.0
2020-04-04,51.49970909333334,2.4553333333333294,1.7702285920672445,-0.5758394158786446,31.497615781783555,0.0
2020-04-05,51.53780049125,0.5079999999999978,1.776604741266089,-0.6000772507880221,32.890325190438666,0.0
2020-04-06,52.624397725416664,1.354666666666666,1.7304340277777779,-0.5344166666666667,27.350427083333333,0.0
2020-04-07,52.52369278375,0.0,1.7537291666666668,-0.5565243055555555,29.68016666666667,0.0
2020-04-08,52.39832048833333,1.862666666666663,1.759017361111111,-0.5506666666666666,29.427131944444444,0.0
2020-04-09,52.21649956416667,3.894666666666659,1.7593958333333333,-0.5288680555555555,27.554989583333334,0.0
2020-04-10,53.95921633625,0.0,1.748684027777778,-0.5456597222222223,27.303329861111113,0.0
2020-04-11,59.04377242416667,18.118666666666655,1.7515625000000001,-0.5564618055555556,26.915722222222225,0.0
2020-04-12,60.27211710458333,0.0,1.7961875,-0.5573229166666667,28.1975,0.0
2020-04-13,60.16447912500001,5.841999999999996,1.776548611111111,-0.5432951388888889,26.59504861111111,0.0
2020-04-14,58.856285326666665,0.0,1.7355694444444445,-0.5409131944444444,25.45134722222222,0.0
2020-04-15,54.38807812291666,0.0,1.7264652777777778,-0.5604201388888889,26.53957986111111,0.0
2020-04-16,53.06887530708333,0.0,1.7338229166666668,-0.5542256944444445,26.703131944444447,0.0
2020-04-17,52.83304649666667,0.0,1.7402743055555556,-0.5554409722222222,26.16095833333333,0.0
2020-04-18,52.481298823749995,1.3546666666666634,1.7157256944444443,-0.5526875,24.66399652777778,0.0
2020-04-19,51.89445997333333,4.995333333333325,1.7269305555555556,-0.5604652777777778,23.931895833333332,0.0
2020-04-20,51.86727646583333,0.8466666666666658,1.7593993055555555,-0.58021875,26.007291666666664,0.0
2020-04-21,51.925927585000004,7.450666666666656,1.7439652777777779,-0.5494583333333334,24.145979166666667,0.0
2020-04-22,52.05134362458333,4.741333333333328,1.7727986111111111,-0.5653090277777778,26.190430555555555,0.0
2020-04-23,56.37908307833333,7.958666666666657,1.783204861111111,-0.5515625000000001,25.57126736111111,0.0
2020-04-24,60.21452112083333,26.58533333333332,1.756076388888889,-0.5685,25.779913194444447,0.0
2020-04-25,60.046507525,0.0,1.774125,-0.5743680555555556,25.61873263888889,0.0
2020-04-26,57.75358072666667,0.0,1.8323854166666667,-0.5939930555555556,28.11804513888889,0.0
2020-04-27,54.73284143708333,4.741333333333331,1.8352569444444444,-0.581954861111111,27.13265972222222,0.0
2020-04-28,59.07118539374999,10.244666666666657,1.8326805555555554,-0.5859027777777778,26.61063888888889,0.0
2020-04-29,59.866640384583334,9.143999999999997,1.8460625000000002,-0.5876423611111111,26.687149305555554,0.0
2020-04-30,60.09023581875,0.0,1.8108368055555557,-0.5913784722222223,25.299364583333332,0.0
2020-05-01,60.21640769583333,5.164666666666664,1.8644166666666668,-0.6040520833333334,26.51688888888889,0.0
2020-05-02,59.310940395416665,2.031999999999998,1.896972222222222,-0.604013888888889,27.815298611111107,0.0
